"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 13, 2020","22.26","22.25","22.61","22.03","3.85M","0.00%"
"Jan 10, 2020","22.26","22.25","22.36","21.77","5.66M","-0.80%"
"Jan 09, 2020","22.44","22.62","22.79","22.11","6.51M","-1.23%"
"Jan 08, 2020","22.72","23.38","23.68","22.70","6.57M","-2.32%"
"Jan 07, 2020","23.26","23.66","23.76","23.22","6.26M","-2.84%"
"Jan 06, 2020","23.94","23.91","24.14","23.45","8.11M","0.97%"
"Jan 03, 2020","23.71","23.93","24.41","23.61","9.14M","-1.74%"
"Jan 02, 2020","24.13","24.79","24.99","24.09","4.78M","-2.86%"
"Dec 31, 2019","24.84","24.28","24.91","24.18","2.83M","1.89%"
"Dec 30, 2019","24.38","24.69","24.96","24.26","3.50M","-0.97%"
"Dec 27, 2019","24.62","24.88","25.00","24.60","2.58M","-0.61%"
"Dec 26, 2019","24.77","24.84","25.08","24.69","2.98M","0.65%"
"Dec 24, 2019","24.61","24.40","24.73","24.28","2.02M","1.28%"
"Dec 23, 2019","24.30","23.48","24.40","23.48","3.82M","2.75%"
"Dec 20, 2019","23.65","23.57","23.66","23.26","6.25M","1.28%"
"Dec 19, 2019","23.35","23.00","23.47","22.96","3.36M","1.30%"
"Dec 18, 2019","23.05","22.49","23.32","22.44","4.77M","1.54%"
"Dec 17, 2019","22.70","23.25","23.56","22.07","10.65M","-0.26%"
"Dec 16, 2019","22.76","22.56","23.02","22.55","3.56M","1.70%"
"Dec 13, 2019","22.38","23.01","23.08","22.38","3.86M","-2.44%"
"Dec 12, 2019","22.94","22.06","23.04","22.01","3.92M","4.13%"
"Dec 11, 2019","22.03","21.79","22.13","21.79","2.43M","1.10%"
"Dec 10, 2019","21.79","21.86","21.91","21.51","3.32M","-0.09%"
"Dec 09, 2019","21.81","21.66","22.05","21.57","3.22M","-0.23%"
"Dec 06, 2019","21.86","21.10","21.93","20.96","4.74M","4.19%"
"Dec 05, 2019","20.98","21.27","21.34","20.88","5.42M","0.33%"
"Dec 04, 2019","20.91","20.60","21.34","20.40","6.84M","3.82%"
"Dec 03, 2019","20.14","20.20","20.44","19.90","4.67M","-2.14%"
"Dec 02, 2019","20.58","21.04","21.07","20.51","4.02M","-0.87%"
